Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,2.460000,2.960000,2.350000,2.860000,2.860000,36932451
2017-11-26,2.050000,2.710000,1.930000,2.460000,2.460000,3390936
2017-11-25,1.880000,2.070000,1.780000,2.050000,2.050000,15220203
2017-11-24,1.880000,1.910000,1.710000,1.880000,1.880000,13361558
2017-11-23,1.890000,1.980000,1.850000,1.880000,1.880000,15119870
2017-11-22,1.910000,1.990000,1.760000,1.890000,1.890000,17831198
2017-11-21,1.990000,2.120000,1.840000,1.910000,1.910000,23733914
2017-11-20,1.880000,2.050000,1.830000,1.990000,1.990000,19143342
2017-11-19,1.910000,2.060000,1.750000,1.880000,1.880000,21388039
2017-11-18,1.740000,1.990000,1.650000,1.920000,1.920000,21390803
2017-11-17,1.670000,1.820000,1.580000,1.740000,1.740000,20311991
2017-11-16,1.670000,1.870000,1.560000,1.670000,1.670000,29287595
2017-11-15,1.680000,1.730000,1.510000,1.670000,1.670000,25979233
2017-11-14,1.180000,1.690000,1.180000,1.680000,1.680000,31284841
2017-11-13,1.090000,1.190000,1.080000,1.180000,1.180000,7492603
2017-11-12,1.160000,1.190000,1.020000,1.090000,1.090000,9319549
2017-11-11,1.030000,1.190000,1.000000,1.160000,1.160000,10015980
2017-11-10,1.180000,1.190000,0.984400,1.030000,1.030000,11005764
2017-11-09,1.120000,1.210000,1.120000,1.180000,1.180000,10712325
2017-11-08,0.951700,1.190000,0.943400,1.120000,1.120000,18144083
2017-11-07,0.912300,0.993700,0.910700,0.951800,0.951800,7388368
2017-11-06,1.090000,1.090000,0.901500,0.912400,0.912400,13562909
2017-11-05,1.110000,1.180000,0.973000,1.090000,1.090000,15041656
2017-11-04,1.200000,1.300000,1.040000,1.110000,1.110000,20190363
2017-11-03,1.110000,1.420000,1.060000,1.200000,1.200000,31281541
2017-11-02,1.050000,1.300000,0.916000,1.110000,1.110000,34049392
2017-11-01,0.782200,1.330000,0.752200,1.050000,1.050000,35716244
2017-10-31,0.712500,0.782600,0.667600,0.782600,0.782600,6841174
2017-10-30,0.667100,0.747000,0.640900,0.712500,0.712500,9021667
